rushingId,playerId,yards,touchdowns,longest,yardsPerAtt,yardsPerGame
LaFeBr00Rushing,LaFeBr00,9,0,9,4.5,0.8
LatiCo00Rushing,LatiCo00,1,0,5,0.5,0.1
MageTe00Rushing,MageTe00,5,0,4,2.5,1.7
MoorKe02Rushing,MoorKe02,-1,0,0,-0.5,-0.3
PattCo00Rushing,PattCo00,15,0,9,7.5,0.9
PeadIs00Rushing,PeadIs00,3,0,4,1.5,1.5
SmitGe00Rushing,SmitGe00,34,0,29,17,34
SmitRo06Rushing,SmitRo06,5,0,3,2.5,0.5
WhitCh02Rushing,WhitCh02,1,0,2,0.5,0.2
WillTr03Rushing,WillTr03,12,0,12,6,6
WoodCi00Rushing,WoodCi00,3,0,3,1.5,1.5
AlleDw00Rushing,AlleDw00,1,0,1,1,0.1
AluaTy99Rushing,AluaTy99,0,0,0,0,0
AndeCo01Rushing,AndeCo01,-1,0,-1,-1,-0.1
BeckOd00Rushing,BeckOd00,3,0,3,3,0.2
CaldAn00Rushing,CaldAn00,3,0,3,3,0.2
ClemKe00Rushing,ClemKe00,-1,0,-1,-1,-0.5
CotcJe00Rushing,CotcJe00,16,0,16,16,1.1
DiMaPa00Rushing,DiMaPa00,0,0,0,0,0
DougHa00Rushing,DougHa00,-6,0,-6,-6,-0.4
ElliBr00Rushing,ElliBr00,7,0,7,7,0.5
FeltJe00Rushing,FeltJe00,2,0,2,2,0.1
HeatJe00Rushing,HeatJe00,2,0,2,2,0.1
HernJa00Rushing,HernJa00,13,0,13,13,1.6
HogaCh00Rushing,HogaCh00,4,0,4,4,0.3
HoomMi00Rushing,HoomMi00,0,0,0,0,0
HuntKe00Rushing,HuntKe00,2,0,2,2,1
JohnDa04Rushing,JohnDa04,6,0,6,6,6
JoneT.00Rushing,JoneT.00,-3,0,-3,-3,-0.3
KochSa20Rushing,KochSa20,7,0,7,7,0.4
LaneJo00Rushing,LaneJo00,0,0,0,0,0
LeviAn00Rushing,LeviAn00,3,0,3,3,0.2
LockJe00Rushing,LockJe00,-6,0,-6,-6,-0.4
MartKe01Rushing,MartKe01,6,0,6,6,0.7
MastTi99Rushing,MastTi99,7,0,7,7,0.4
MattRi00Rushing,MattRi00,4,0,4,4,0.4
McAfPa44Rushing,McAfPa44,18,0,18,18,1.1
McBrTr00Rushing,McBrTr00,8,0,8,8,1.1
MillHe00Rushing,MillHe00,2,0,2,2,0.1
MurpMa03Rushing,MurpMa03,0,0,0,0,0
NelsJJ00Rushing,NelsJJ00,0,0,0,0,0
NortBr00Rushing,NortBr00,-1,0,-1,-1,-0.1
PattQu00Rushing,PattQu00,5,0,5,5,0.3
PoexDo00Rushing,PoexDo00,1,1,1,1,0.1
PoyeJo00Rushing,PoyeJo00,10,0,10,10,0.7
PryoTe00Rushing,PryoTe00,-1,0,-1,-1,-0.3
ReitJo00Rushing,ReitJo00,0,0,0,0,0
RenfSe00Rushing,RenfSe00,-4,0,-4,-4,-2
RodgRi00Rushing,RodgRi00,11,0,11,11,0.7
RossJe01Rushing,RossJe01,2,0,2,2,0.2
RoyaEd00Rushing,RoyaEd00,-1,0,-1,-1,-0.1
SchmCo00Rushing,SchmCo00,0,0,0,0,0
SherAn00Rushing,SherAn00,0,0,0,0,0
SiemTr00Rushing,SiemTr00,-1,0,-1,-1,-1
SmitAn01Rushing,SmitAn01,11,0,11,11,2.2
ThigMa00Rushing,ThigMa00,-1,0,0,-1,-0.1
VargTy00Rushing,VargTy00,2,0,2,2,0.7
WalkHu00Rushing,WalkHu00,36,0,36,36,2.4
WallMi00Rushing,WallMi00,6,0,6,6,0.4
WashTo00Rushing,WashTo00,8,0,8,8,2
WatkSa00Rushing,WatkSa00,1,0,1,1,0.1
WebbJo00Rushing,WebbJo00,-1,0,-1,-1,-0.1
WeemEr00Rushing,WeemEr00,4,0,4,4,0.3
WillKa02Rushing,WillKa02,5,0,5,5,2.5
WinsGl00Rushing,WinsGl00,-8,0,-8,-8,-2.7
WoodRo02Rushing,WoodRo02,0,0,0,0,0
WoodCh00Rushing,WoodCh00,-3,0,-3,-3,-0.2
WrigJa02Rushing,WrigJa02,29,0,29,29,1.8
